date,px_last,px_high,px_low,px_close_1d,volume,aja
2023-08-08,7190.97998046875,7190.97998046875,7190.97998046875,7190.97998046875,1000,5724.27587890625
2023-08-09,7110,7110,7000,7100,33908,5651.8525390625
2023-08-10,7123.22998046875,7123.22998046875,7123.22998046875,7123.22998046875,4291,5670.3447265625
2023-08-11,7225,7225,7225,7225,21328930,5751.35693359375
2023-08-14,7225,7225,7225,7225,2562,5751.35693359375
2023-08-15,7100,7100,7100,7100,6062,5651.8525390625
2023-08-16,7110,7110,7090,7100,10841,5651.8525390625
2023-08-17,7005,7005,7005,7005,3058,5576.22900390625
2023-08-18,7097.47998046875,7097.47998046875,7097.47998046875,7097.47998046875,2221,5649.84619140625
2023-08-21,7097.47998046875,7097.47998046875,7097.47998046875,7097.47998046875,0,5649.84619140625
2023-08-22,7050,7050,7050,7050,4887,5612.05078125
2023-08-23,7050,7050,6450,7050,893649,5612.05078125
2023-08-24,7050,7050,7050,7050,2573,5612.05078125
2023-08-25,7080,7100,7000,7100,20502,5651.8525390625
2023-08-28,7100,7100,7100,7100,2930,5651.8525390625
2023-08-29,7069.509765625,7069.509765625,7069.509765625,7069.509765625,4641,5627.58154296875
2023-08-30,7100,7100,6950,6950,6141,5532.447265625
2023-08-31,6905,7000,6905,7000,5968,5572.2490234375
